Longitude,Latitude,Loc_ID,Type
120.5742244,17.52521177,Abra-Pidigan-Yuyeng,Village
120.608466,17.37004739,Abra-Pilar-Bolbolo,Village
120.5525585,17.35251452,Abra-Pilar-Brookside,Village
120.5695807,17.35178776,Abra-Pilar-Dalit,Village
120.5960347,17.36232953,Abra-Pilar-Dintan,Village
120.5688772,17.38905603,Abra-Pilar-Gapang,Village
120.5923871,17.38253969,Abra-Pilar-Kinabiti,Village
120.5827975,17.41588687,Abra-Pilar-Maliplipit,Village
120.5636539,17.36986655,Abra-Pilar-Nagcanasan,Village
120.5775183,17.31855581,Abra-Pilar-Nanangduan,Village
120.6151295,17.40580432,Abra-Pilar-Narnara,Village
120.5796722,17.35363146,Abra-Pilar-Ocup,Village
120.5564919,17.33168287,Abra-Pilar-Pang-Ot,Village
120.5869576,17.43167007,Abra-Pilar-Patad,Village
120.6133417,17.42332532,Abra-Pilar-Poblacion,Village
120.6161943,17.38909798,Abra-Pilar-San Juan East,Village
120.5994782,17.39571116,Abra-Pilar-San Juan West,Village
120.5965788,17.40661224,Abra-Pilar-South Balioag,Village
120.5785375,17.40225596,Abra-Pilar-Tikitik,Village
120.5864446,17.33930494,Abra-Pilar-Villavieja,Village
120.7893514,17.4659989,Abra-Sallapadan-Bazar,Village
120.7768796,17.53705522,Abra-Sallapadan-Bilabila,Village
120.7651597,17.46290253,Abra-Sallapadan-Gangal,Village
120.7695954,17.4334083,Abra-Sallapadan-Maguyepyep,Village
120.7700092,17.49329814,Abra-Sallapadan-Naguilian,Village
120.7927225,17.51276304,Abra-Sallapadan-Saccaang,Village
120.8115487,17.45989634,Abra-Sallapadan-Sallapadan,Village
120.7465289,17.46508815,Abra-Sallapadan-Subusob,Village
120.8389761,17.47533361,Abra-Sallapadan-Ud-Udiao,Village
120.5932715,17.4853065,Abra-San Isidro-Cabayogan,Village
120.6064193,17.48633086,Abra-San Isidro-Dalimag,Village
120.6075943,17.45944349,Abra-San Isidro-Langbaban,Village
120.6219433,17.47830237,Abra-San Isidro-Manayday,Village
120.589583,17.46512377,Abra-San Isidro-Pantoc,Village
120.6106226,17.46564047,Abra-San Isidro-Poblacion,Village
120.5908166,17.47451688,Abra-San Isidro-Sabtan-Olo,Village
120.6523295,17.48100394,Abra-San Isidro-San Marcial,Village
120.6025686,17.44687488,Abra-San Isidro-Tangbao,Village
