barangay,municipality,province,case_status,date,case_status_fct,case_type,year,island
Tabinay,Puerto Galera,Oriental Mindoro,Confirmed,05/03/2021,Confirmed (Animal),Animal,2021,Oriental Mindoro
Tabinay,Puerto Galera,Oriental Mindoro,Confirmed,10/03/2021,Confirmed (Animal),Animal,2021,Oriental Mindoro
Santo Nino,Puerto Galera,Oriental Mindoro,Confirmed,29/03/2021,Confirmed (Animal),Animal,2021,Oriental Mindoro
Malapad,Baco,Oriental Mindoro,Confirmed,14/04/2021,Confirmed (Animal),Animal,2021,Oriental Mindoro
Salong,Calapan City,Oriental Mindoro,Confirmed,23/04/2021,Confirmed (Animal),Animal,2021,Oriental Mindoro
San Isidro,Puerto Galera,Oriental Mindoro,Confirmed,05/01/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Mayabig,Baco,Oriental Mindoro,Confirmed,14/01/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Anilao,Bongabong,Oriental Mindoro,Confirmed,09/02/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Mangangan I,Baco,Oriental Mindoro,Confirmed,09/02/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Mangangan I,Baco,Oriental Mindoro,Confirmed,16/02/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
San Jose,Roxas,Oriental Mindoro,Confirmed,17/02/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Libertad,Roxas,Oriental Mindoro,Confirmed,02/03/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Tagumpay,Baco,Oriental Mindoro,Confirmed,07/03/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Santa Teresita,Mansalay,Oriental Mindoro,Confirmed,22/04/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Polusahi,Bongabong,Oriental Mindoro,Confirmed,29/04/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Narra,Gloria,Oriental Mindoro,Confirmed,08/05/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Don Pedro,Mansalay,Oriental Mindoro,Confirmed,19/05/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Zone III,Pinamalayan,Oriental Mindoro,Confirmed,31/05/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Poblacion,Baco,Oriental Mindoro,Confirmed,27/07/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Poblacion,Baco,Oriental Mindoro,Confirmed,12/08/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Bayanan,Pola,Oriental Mindoro,Confirmed,14/08/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Bagumbayan,Roxas,Oriental Mindoro,Confirmed,22/10/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Balugo,Mansalay,Oriental Mindoro,Confirmed,02/12/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Odiong,Roxas,Oriental Mindoro,Confirmed,13/03/2023,Confirmed (Animal),Animal,2023,Oriental Mindoro
Bigaan,San Teodoro,Oriental Mindoro,Confirmed,20/03/2023,Confirmed (Animal),Animal,2023,Oriental Mindoro
San Jose,Roxas,Oriental Mindoro,Confirmed,05/05/2023,Confirmed (Animal),Animal,2023,Oriental Mindoro
Libtong,Roxas,Oriental Mindoro,Confirmed,31/07/2023,Confirmed (Animal),Animal,2023,Oriental Mindoro
San Isidro,Puerto Galera,Oriental Mindoro,Confirmed,23/08/2023,Confirmed (Animal),Animal,2023,Oriental Mindoro
Bagumbayan I,Bongabong,Oriental Mindoro,Confirmed,30/08/2023,Confirmed (Animal),Animal,2023,Oriental Mindoro
Poblacion III,Victoria,Oriental Mindoro,Confirmed,02/10/2023,Confirmed (Animal),Animal,2023,Oriental Mindoro
